Data properties:
 
Recording date: 4/29/2016
Recording time : 11:14:30:078 (corresponds to time 0)
Study: Oog van de meester Calo
Subject: S1
Recording: S1post
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 40
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	72	40	588	386
2	132	80	591	377
3	231	40	585	386
4	291	60	593	354
6	610	80	1108	405
7	849	40	1089	411
8	909	60	1079	429
9	989	40	1062	423
10	1108	159	1013	441
11	1348	179	941	486
12	1547	60	879	503
13	1647	80	838	504
14	1746	120	772	520
15	1906	40	717	541
16	2006	40	650	541
17	2065	80	605	569
38	6312	140	585	559
39	6491	179	479	548
40	6731	40	435	578
41	6810	100	390	579
42	6950	140	345	563
43	7189	140	313	546
44	7348	80	312	561
45	7448	100	300	550
46	7568	159	303	549
47	7767	120	1070	456
48	7907	339	1067	449
49	8266	120	1024	473
50	8445	100	969	509
51	8565	80	943	513
52	8664	40	920	518
53	8764	80	869	519
54	8864	239	778	543
55	9163	259	592	528
56	9502	259	483	464
57	9841	319	387	420
58	10179	80	393	412
69	13230	60	771	563
70	13309	199	697	583
71	13549	40	638	591
72	13609	718	447	572
73	14366	60	323	466
