Data properties:
 
Recording date: 4/29/2016
Recording time : 11:14:30:078 (corresponds to time 0)
Study: Oog van de meester Calo
Subject: S1
Recording: S1post
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 40
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	72	40	588	386
2	132	80	591	377
3	231	40	585	386
4	291	60	593	354
5	431	120	1090	463
6	610	80	1108	405
7	849	40	1089	411
28	3800	40	761	532
29	3919	100	920	519
30	4039	80	948	528
31	4139	60	971	517
32	4258	279	1033	478
33	4617	399	1076	447
34	5056	199	1070	451
35	5355	40	1049	472
36	5415	259	995	504
37	5694	578	793	551
38	6312	140	585	559
39	6491	179	479	548
40	6731	40	435	578
41	6810	100	390	579
42	6950	140	345	563
43	7189	140	313	546
44	7348	80	312	561
45	7448	100	300	550
46	7568	159	303	549
47	7767	120	1070	456
48	7907	339	1067	449
49	8266	120	1024	473
50	8445	100	969	509
51	8565	80	943	513
52	8664	40	920	518
53	8764	80	869	519
54	8864	239	778	543
55	9163	259	592	528
56	9502	259	483	464
57	9841	319	387	420
58	10179	80	393	412
59	10299	339	493	496
60	10678	219	618	541
61	10937	459	810	555
62	11455	359	1031	482
63	11874	80	1062	462
64	12014	40	1068	448
65	12093	518	1056	456
66	12632	279	986	494
67	12931	40	907	544
68	12990	160	852	554
69	13230	60	771	563
70	13309	199	697	583
71	13549	40	638	591
72	13609	718	447	572
73	14366	60	323	466
