Data properties:
 
Recording date: 4/6/2016
Recording time : 14:25:38:421 (corresponds to time 0)
Study: Oog van de meester Calo
Subject: S1
Recording: S1pre
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 40
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	71	100	656	429
2	210	219	661	429
3	469	40	1091	370
4	569	259	1088	380
5	888	100	1081	429
6	1008	379	1015	458
7	1466	120	901	497
8	1606	299	788	511
9	1945	1216	483	410
10	3280	259	538	462
11	3579	219	652	505
12	3819	80	734	525
13	3918	239	853	511
14	4178	120	922	504
15	4317	219	966	483
16	4556	100	1010	459
17	4676	40	1028	444
18	4736	139	1031	438
19	4975	159	1074	414
20	5154	299	1046	431
21	5473	100	988	479
22	5593	159	936	477
23	5772	199	850	503
24	5992	80	774	538
25	6091	60	732	517
26	6171	80	688	537
27	6271	259	621	539
28	6550	80	510	460
29	6650	40	479	482
30	6709	40	451	437
31	6769	80	420	467
32	6869	439	346	492
33	7347	160	295	470
34	7587	179	702	449
35	7806	140	711	481
36	8005	40	1097	411
37	8065	558	1027	450
38	8643	419	852	521
39	9082	40	736	522
40	9142	60	689	524
41	9241	339	581	473
42	9600	60	502	445
43	9680	219	419	403
44	9919	60	400	389
45	10019	219	400	386
46	10418	80	461	419
47	10517	100	492	447
48	10657	159	556	484
49	10856	199	711	496
50	11135	60	791	509
51	11215	279	872	492
52	11514	80	933	475
53	11614	80	959	471
54	11714	120	982	454
55	11853	40	984	442
56	11913	658	1004	440
57	12591	239	951	482
58	12850	339	847	527
59	13209	80	752	556
60	13308	239	671	552
61	13568	458	545	537
62	14046	100	434	498
63	14166	239	349	511
64	14425	219	318	465
