Data properties:
 
Recording date: 3/24/2016
Recording time : 13:45:34:421 (corresponds to time 0)
Study: Oog van de meester Calo
Subject: Marcel
Recording: steun1
Screen resolution: 1280 x 1024
Coordinate unit: Pixels
 
 
Filter settings:
 
Eye: Average
Validity level: Normal
Fixation radius: 30
Min duration: 40
 
Fix number	Timestamp	Duration	GazepointX	GazepointY
 
1	76	259	656	516
2	395	199	1088	454
3	614	1395	943	479
4	2030	279	572	533
5	2329	180	491	489
6	2528	159	445	404
7	2708	80	420	382
11	5020	558	1034	519
12	5598	140	952	554
13	5798	797	702	526
14	6675	518	410	523
15	7393	159	322	484
16	7592	60	581	500
17	7751	80	1038	506
18	7851	698	1052	456
19	8589	518	872	545
20	9127	299	639	501
21	9446	140	543	454
22	9606	60	502	441
23	9745	199	443	394
24	9964	299	427	385
25	10283	239	463	482
26	10562	199	514	468
27	10782	100	610	493
28	10901	159	705	513
30	11599	179	988	531
31	11799	558	1059	497
32	12377	837	968	542
33	13254	538	655	562
34	13812	837	373	536
